URL,EMAILS,PHONES
https://www.turismodeportugal.pt/pt/quem_somos/Contactos/Paginas/default.aspx,info@turismodeportugal.pt; dvoferta@turismodeportugal.pt; apoioaoempresario@turismodeportugal.pt; centro.documentacao@turismodeportugal.pt,
https://www.vilagale.com/pt/contactos,campo@vilagale.com; palacio@vilagale.com; figueira.recepcao@vilagale.com; braga@vilagale.com; paulista@vilagale.com; marina@vilagale.com; sunsetcumbuco@vilagale.com; angra@vilagale.com; portugal.compras@vilagale.com; portugal.reservas@vilagale.com; ouropreto@vilagale.com; rio.gerencia@vilagale.com; vineyards@vilagale.com; montevilar.recepcao1@vilagale.com; ericeira@vilagale.com; lsilva@vilagale.com; amazonia@vilagale.com; Brasil.eventos@vilagale.com; evora@vilagale.com; opera@vilagale.com; atlantico@vilagale.com; douro@vilagale.com; marketing@vilagale.com; porto@vilagale.com; brasil.formacao@vilagale.com; rh@vilagale.com; brasil.compras@vilagale.com; praia@vilagale.com; cerro@vilagale.com; salvador@vilagale.com; nepkids.recepcao1@vilagale.com; islacanela@vilagale.com; mares@vilagale.com; madeira@vilagale.com; cascais@vilagale.com; sintra@vilagale.com; coimbra@vilagale.com; nautico@vilagale.com; touros@vilagale.com; empresas.reservas@vilagale.com; ampalius@vilagale.com; tavira.recepcao1@vilagale.com; brasil.marketing@vilagale.com; cumbuco@vilagale.com; elvas@vilagale.com; Brasil.grupos@vilagale.com; saomiguel@vilagale.com; ggonzaga@vilagale.com; fortaleza@vilagale.com; ribeira@vilagale.com; turismo.reservas@vilagale.com; estoril@vilagale.com; cabo@vilagale.com; alagoas@vilagale.com; brasil.reservas@vilagale.com; tomar@vilagale.com; estrela@vilagale.com; alter@vilagale.com; albacora@vilagale.com; info@vilagale.com; clube@vilagale.com; lagos@vilagale.com,
https://all.accor.com/hotel/0784/index.pt-br.shtml,H0784@accor.com,
https://business.turismodeportugal.pt/pt/contacte-nos/Paginas/default.aspx,info@turismodeportugal.pt; dvoferta@turismodeportugal.pt; apoioaoempresario@turismodeportugal.pt; centro.documentacao@turismodeportugal.pt,
https://atelierdehoteles.com/oleo-cancun-playa-contact,contacto@adh.com,
https://www.nyxhotels.com/contacto/,nyxhotels@nyxhotels.com,
https://slshotels.com/cancun/,SLS_Cancun-Reservations@slshotels.com; concierge.slscancun@slshotels.com,
https://es.krystal-hotels.com/contacto/,reservacionesixtapa@krystal-hotels.com; reservations.kgnv@krystal-hotels.com; reservasacapulco@krystal-hotels.com; ecommerce3@gsf-hotels.com; pvrpv.reservations@krystalgrand-hotels.com; reservaciones@krystal-hotels.com; gterecepcion.kgs@krystal-hotels.com; reservas.kcc@krystal-hotels.com; reservaciones1.ksmb@krystal-hotels.com; reservaciones.kuc@krystal-hotels.com; reservaciones.kvta@krystal-hotels.com; dirventas.kua@krystal-hotels.com; recepcionjuarez@krystal-hotels.com; reservations.kgpv@krystal-hotels.com; reservaciones.kugdl@krystal-hotels.com; recepcion.sdna@krystal-hotels.com; reservations.kgpc@krystal-hotels.com; reservaciones2.kglc@krystal-hotels.com; reservations1.kgnv@krystal-hotels.com; krystalagencies@krystal-hotels.com; calidad.kmty@krystal-hotels.com,
https://alvearpalace.com/en/contact-information/,marketing@alvear.com.ar; reservations@alvear.com.ar; spa.aph@alvear.com.ar; banquetes@alvear.com.ar; busquedas@alvear.com.ar; concierge.aph@alvear.com.ar; reservas@alvear.com.ar; restaurantes.aph@alvear.com.ar; grupos@alvear.com.ar; guestservices.aph@alvear.com.ar,
https://www.pestana.com/pt/apoio-cliente/contactos-hoteis,recepcao.stamaria@pousadas.pt; fo.troia@pestana.com; info@pestanagolf.com; fo.churchill@pestana.com; fo.pestanacr7funchal@pestana.com; fo.viking@pestana.com; fo.djoaoii@pestana.com; guest.usa@pestana.com; recepcao.dmaria@pousadas.pt; alvor.parque@pestana.com; cr7marrakech@pestana.com; recepcao.staisabel@pousadas.pt; fo.atlantico@pestana.com; fo.vilasol@pestana.com; recepcao.sfrancisco@pestana.com; fo.comporta@pestana.com; reservas.pousadasaosebastiao@pousadas.pt; fo.alvorpraia@pestana.com; fo.promenade@pestana.com; reservas@pousadavalenca.com; res.barcelona@pestana.com; fo.quintadoarco@pestana.com; reservas.plazamayor@pestana.com; fo.carlton@pestana.com; fo.alvorsouthbeach@pestana.com; recepcao.djoao@pestana.com; reservas.stome@pestana.com; fo.vrsantonio@pestana.com; fo.vilaobidos@pestana.com; reservas@conventodebelmonte.pt; pestana.equador@pestana.com; fo.perestrello@pestana.com; fo.bluealvor@pestana.com; tanger@pestana.com; recepcao.palacioestoi@pousadas.pt; fo.royal@pestana.com; fo.bahiapraia@pestana.com; reservas.br@pestana.com; fo.lisboavintage@pestana.com; recepcao.assuncao@pousadas.pt; reservation.berlin@pestana.com; chelsea.bridge@pestana.com; reservas.bazaruto@pestana.com; fo.alfama@pestana.com; fo.vilalido@pestana.com; rececao@pousadadealvito.pt; fo.buenosaires@pestana.com; fo.abrasileira@pestana.com; reservations.casablanca@pestana.com; fo.rio@pestana.com; fo.amsterdam@pestana.com; fo.pestanacr7lisbon@pestana.com; fo.augusta@pestana.com; fo.studios@pestana.com; fo.viana@pestana.com; fo.caracas@pestana.com; fo.sp@pestana.com; reception.pousadalisboa@pestana.com; recepcao.dafonso@pestana.com; fo.miramar@pestana.com; recepcao.frosa@pousadas.pt; fo.porto@pestana.com; recepcao.infante@pestana.com; recepcao.loios@pestana.com; reception.cph@pestana.com; fo.douro@pestana.com; info@gpousada.com; cr7timessquare@pestana.com; recepcao.pousadacascais@pestana.com; fo.castelo@pestana.com; fo.pousadasestrela@pestana.com; fo.sintra@pestana.com; resorts.madeira@pestana.com; recepcao.sbento@pousadas.pt; reception.cascais@pestana.com; recepcao.ria@pousadas.pt; palm.gardens@pestana.com; fo.fisherman@pestana.com; fo.grand@pestana.com; fo.ctb@pestana.com; recepcao.palmela@pestana.com; kruger.lodge@pestana.com; fo.valley@pestana.com; recepcao.stamarinha@pestana.com; fo.village@pestana.com; fo.casino@pestana.com; recepcao.conventograca@pousadas.pt; fo.orlandosuiteslbv@pestana.com; fo.viseu@pestana.com; fo.palaciodofreixo@pestana.com; reservas.cr7granvia@pestana.com; fo.bay@pestana.com; fo.pousadaporto@pestana.com; pousadacondedeourem@gmail.com; fo.portosanto@pestana.com; reservas.tropico@pestana.com; recepcao.stacruz@pousadas.pt; fo.rovuma@pestana.com; fo.amares@pestana.com,
